date,open,high,low,close,volume,<VOL>,<SPREAD>,candle_type,body_ratio
2017-10-03,1.17332,1.17735,1.1696,1.17466,164082,0,0,base,0.17290322580646866
2017-10-04,1.17435,1.17876,1.17349,1.17598,161945,0,0,base,0.30929791271347
2017-10-05,1.17601,1.17788,1.1699,1.17057,157287,0,0,decisive,0.6817042606516068
2017-10-06,1.17107,1.17387,1.16692,1.17339,176229,0,0,base,0.3338129496402696
2017-10-09,1.17369,1.17561,1.17194,1.17394,96821,0,0,base,0.06811989100819599
2017-10-10,1.17406,1.18253,1.17389,1.1809,161469,0,0,decisive,0.7916666666666634
2017-10-11,1.18094,1.1869,1.17951,1.18634,165288,0,0,decisive,0.7307171853856351
2017-10-12,1.186,1.18799,1.1827,1.18289,153838,0,0,decisive,0.5879017013232394
2017-10-13,1.18287,1.18749,1.18052,1.18199,164411,0,0,base,0.1262553802008611
2017-10-16,1.18127,1.18194,1.17805,1.17959,138266,0,0,base,0.43187660668384265
2017-10-17,1.17969,1.18,1.1736,1.17658,146422,0,0,base,0.4859374999999945
2017-10-18,1.17667,1.18053,1.173,1.17876,147947,0,0,base,0.27755644090304316
2017-10-19,1.17882,1.18578,1.17678,1.18527,182112,0,0,decisive,0.7166666666666646
2017-10-20,1.18489,1.18579,1.17623,1.178,184653,0,0,decisive,0.720711297071152
2017-10-23,1.17664,1.17774,1.17247,1.17493,139227,0,0,base,0.3244781783680917
2017-10-24,1.17489,1.17929,1.17426,1.176,147197,0,0,base,0.22067594433399076
2017-10-25,1.17613,1.18176,1.17529,1.18134,189561,0,0,explosive,0.8052550231839534
2017-10-26,1.18131,1.18368,1.16403,1.16539,190270,0,0,explosive,0.8101781170483471
2017-10-27,1.1653,1.16568,1.15742,1.1607,194753,0,0,decisive,0.5569007263922338
2017-10-30,1.16099,1.16579,1.15933,1.16526,139673,0,0,decisive,0.6609907120742893
2017-10-31,1.16503,1.16613,1.16248,1.16479,138119,0,0,base,0.06575342465753642
2017-11-01,1.16449,1.16573,1.16062,1.16199,157087,0,0,base,0.48923679060664815
2017-11-02,1.16194,1.16872,1.1613,1.16571,178704,0,0,decisive,0.5080862533692804
2017-11-03,1.16572,1.16906,1.15991,1.16091,145333,0,0,decisive,0.525683060109288
2017-11-06,1.16134,1.16241,1.15802,1.16093,145578,0,0,base,0.09339407744875429
2017-11-07,1.1612,1.16157,1.1554,1.15875,157249,0,0,base,0.3970826580227001
2017-11-08,1.15882,1.1611,1.15791,1.1594,135269,0,0,base,0.18181818181818815
2017-11-09,1.15956,1.16548,1.15855,1.16406,168839,0,0,decisive,0.6493506493506643
2017-11-10,1.16393,1.16779,1.16227,1.16648,132339,0,0,base,0.4619565217391239
2017-11-13,1.16579,1.16752,1.16373,1.16654,113813,0,0,base,0.1978891820579985
2017-11-14,1.16686,1.18048,1.16614,1.17962,143443,0,0,explosive,0.8898186889818595
2017-11-15,1.17964,1.18603,1.17845,1.17908,181240,0,0,base,0.0738786279683538
2017-11-16,1.17902,1.18009,1.17566,1.17677,155229,0,0,decisive,0.5079006772008542
2017-11-17,1.17707,1.18217,1.17652,1.17864,159049,0,0,base,0.2778761061946669
2017-11-20,1.17878,1.18085,1.17219,1.17315,171836,0,0,decisive,0.6501154734411195
2017-11-21,1.17331,1.17577,1.17129,1.17381,139129,0,0,base,0.11160714285712958
2017-11-22,1.17394,1.1827,1.17321,1.18211,136909,0,0,explosive,0.8609062170706019
2017-11-23,1.18185,1.1856,1.18132,1.18495,102201,0,0,decisive,0.7242990654205225
2017-11-24,1.18502,1.19443,1.18367,1.19295,126393,0,0,decisive,0.7369888475836354
2017-11-27,1.19294,1.19611,1.18955,1.18964,139011,0,0,decisive,0.503048780487791
2017-11-28,1.18977,1.19199,1.18268,1.18405,170681,0,0,decisive,0.6143931256713056
2017-11-29,1.18409,1.18827,1.18166,1.1847,158431,0,0,base,0.09228441754916777
2017-11-30,1.18471,1.19315,1.18088,1.19061,169534,0,0,base,0.4808475957620224
2017-12-01,1.19036,1.19403,1.18508,1.18983,107021,0,0,base,0.059217877094987784
2017-12-04,1.18639,1.18784,1.1829,1.18654,81135,0,0,base,0.03036437246961015
2017-12-05,1.18636,1.18766,1.18007,1.18259,74649,0,0,base,0.49670619235837393
2017-12-06,1.18245,1.1848,1.17805,1.17957,75422,0,0,base,0.4266666666666636
2017-12-07,1.17948,1.18146,1.17718,1.17722,61507,0,0,decisive,0.5280373831775977
