<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.10.14	00:00:00	1.10311	1.10378	1.10241	1.10278	10941	0	0
2019.10.14	04:00:00	1.10278	1.10355	1.10245	1.10311	8572	0	0
2019.10.14	08:00:00	1.10310	1.10337	1.10133	1.10297	24371	0	0
2019.10.14	12:00:00	1.10297	1.10427	1.10243	1.10243	23446	0	0
2019.10.14	16:00:00	1.10243	1.10306	1.10175	1.10296	23845	0	0
2019.10.14	20:00:00	1.10296	1.10327	1.10226	1.10257	6895	0	0
2019.10.15	00:00:00	1.10267	1.10295	1.10216	1.10253	8469	0	0
2019.10.15	04:00:00	1.10254	1.10334	1.10249	1.10286	9155	0	0
2019.10.15	08:00:00	1.10286	1.10460	1.10125	1.10267	35782	0	0
2019.10.15	12:00:00	1.10266	1.10270	1.09952	1.10053	37637	0	0
2019.10.15	16:00:00	1.10053	1.10445	1.09914	1.10226	60585	0	0
2019.10.15	20:00:00	1.10227	1.10383	1.10169	1.10336	12658	0	0
2019.10.16	00:00:00	1.10285	1.10357	1.10273	1.10319	8517	0	0
2019.10.16	04:00:00	1.10319	1.10324	1.10238	1.10302	10442	0	0
2019.10.16	08:00:00	1.10302	1.10600	1.10292	1.10363	43621	0	0
2019.10.16	12:00:00	1.10363	1.10491	1.10223	1.10397	54951	0	0
2019.10.16	16:00:00	1.10397	1.10856	1.10386	1.10811	40676	0	0
2019.10.16	20:00:00	1.10810	1.10814	1.10649	1.10734	13146	0	0
2019.10.17	00:00:00	1.10721	1.10847	1.10708	1.10826	8501	0	0
2019.10.17	04:00:00	1.10826	1.10844	1.10748	1.10758	8544	0	0
2019.10.17	08:00:00	1.10757	1.10930	1.10650	1.10898	29904	0	0
2019.10.17	12:00:00	1.10898	1.11400	1.10898	1.11173	80573	0	0
2019.10.17	16:00:00	1.11173	1.11324	1.11103	1.11261	36325	0	0
2019.10.17	20:00:00	1.11261	1.11287	1.11204	1.11255	11405	0	0
2019.10.18	00:00:00	1.11247	1.11289	1.11229	1.11281	7150	0	0
2019.10.18	04:00:00	1.11281	1.11309	1.11212	1.11218	9868	0	0
2019.10.18	08:00:00	1.11218	1.11315	1.11147	1.11275	24041	0	0
2019.10.18	12:00:00	1.11275	1.11500	1.11245	1.11475	25100	0	0
2019.10.18	16:00:00	1.11476	1.11598	1.11350	1.11582	33189	0	0
2019.10.18	20:00:00	1.11582	1.11711	1.11562	1.11710	11939	0	0
2019.10.21	00:00:00	1.11626	1.11636	1.11491	1.11622	13681	0	0
2019.10.21	04:00:00	1.11623	1.11624	1.11544	1.11572	7127	0	0
2019.10.21	08:00:00	1.11572	1.11794	1.11495	1.11666	25033	0	0
2019.10.21	12:00:00	1.11667	1.11737	1.11601	1.11610	20555	0	0
2019.10.21	16:00:00	1.11610	1.11629	1.11385	1.11514	25042	0	0
2019.10.21	20:00:00	1.11514	1.11535	1.11449	1.11487	8631	0	0
2019.10.22	00:00:00	1.11489	1.11544	1.11444	1.11539	5122	0	0
2019.10.22	04:00:00	1.11539	1.11570	1.11475	1.11528	6705	0	0
2019.10.22	08:00:00	1.11528	1.11567	1.11333	1.11409	19253	0	0
2019.10.22	12:00:00	1.11410	1.11483	1.11231	1.11266	24624	0	0
2019.10.22	16:00:00	1.11266	1.11461	1.11252	1.11406	24360	0	0
2019.10.22	20:00:00	1.11406	1.11542	1.11177	1.11255	28948	0	0
2019.10.23	00:00:00	1.11250	1.11312	1.11228	1.11261	8741	0	0
2019.10.23	04:00:00	1.11262	1.11271	1.11160	1.11210	9673	0	0
2019.10.23	08:00:00	1.11210	1.11287	1.11177	1.11182	22108	0	0
2019.10.23	12:00:00	1.11181	1.11253	1.11062	1.11227	21725	0	0
2019.10.23	16:00:00	1.11227	1.11246	1.11117	1.11207	18729	0	0
2019.10.23	20:00:00	1.11207	1.11405	1.11188	1.11306	9164	0	0
2019.10.24	00:00:00	1.11298	1.11335	1.11290	1.11314	5070	0	0
2019.10.24	04:00:00	1.11315	1.11419	1.11314	1.11345	6916	0	0
2019.10.24	08:00:00	1.11345	1.11628	1.11241	1.11321	35874	0	0
2019.10.24	12:00:00	1.11320	1.11536	1.11202	1.11495	26168	0	0
2019.10.24	16:00:00	1.11496	1.11517	1.10929	1.11068	42970	0	0
2019.10.24	20:00:00	1.11067	1.11111	1.10996	1.11037	8525	0	0
2019.10.25	00:00:00	1.11059	1.11075	1.11010	1.11015	4119	0	0
2019.10.25	04:00:00	1.11015	1.11056	1.11005	1.11022	4758	0	0
2019.10.25	08:00:00	1.11021	1.11228	1.11011	1.11208	14179	0	0
2019.10.25	12:00:00	1.11207	1.11230	1.10959	1.11000	14952	0	0
2019.10.25	16:00:00	1.10999	1.11055	1.10733	1.10736	20404	0	0
2019.10.25	20:00:00	1.10736	1.10825	1.10730	1.10797	6805	0	0
2019.10.28	00:00:00	1.10780	1.10842	1.10779	1.10823	5000	0	0
2019.10.28	04:00:00	1.10823	1.10842	1.10762	1.10829	5281	0	0
2019.10.28	08:00:00	1.10828	1.10969	1.10816	1.10915	14106	0	0
2019.10.28	12:00:00	1.10914	1.11066	1.10869	1.10873	17926	0	0
2019.10.28	16:00:00	1.10874	1.10988	1.10845	1.10984	19040	0	0
2019.10.28	20:00:00	1.10984	1.11032	1.10966	1.11002	6913	0	0
2019.10.29	00:00:00	1.10982	1.11021	1.10965	1.10978	4738	0	0
2019.10.29	04:00:00	1.10978	1.11024	1.10913	1.10930	6621	0	0
2019.10.29	08:00:00	1.10930	1.10953	1.10772	1.10795	11870	0	0
2019.10.29	12:00:00	1.10795	1.10960	1.10736	1.10950	21464	0	0
2019.10.29	16:00:00	1.10950	1.11186	1.10924	1.11096	27087	0	0
2019.10.29	20:00:00	1.11095	1.11134	1.11048	1.11103	7650	0	0
2019.10.30	00:00:00	1.11128	1.11146	1.11067	1.11091	5709	0	0
2019.10.30	04:00:00	1.11090	1.11124	1.11063	1.11093	5816	0	0
2019.10.30	08:00:00	1.11093	1.11236	1.11079	1.11190	14698	0	0
2019.10.30	12:00:00	1.11190	1.11272	1.11021	1.11141	24485	0	0
2019.10.30	16:00:00	1.11143	1.11256	1.11035	1.11209	26872	0	0
2019.10.30	20:00:00	1.11209	1.11515	1.10802	1.11498	37610	0	0
2019.10.31	00:00:00	1.11490	1.11625	1.11477	1.11621	8661	0	0
2019.10.31	04:00:00	1.11621	1.11704	1.11595	1.11651	11041	0	0
2019.10.31	08:00:00	1.11651	1.11756	1.11575	1.11749	17411	0	0
2019.10.31	12:00:00	1.11749	1.11750	1.11442	1.11528	36356	0	0
2019.10.31	16:00:00	1.11528	1.11589	1.11313	1.11506	36700	0	0
2019.10.31	20:00:00	1.11506	1.11542	1.11404	1.11505	12007	0	0
2019.11.01	00:00:00	1.11511	1.11568	1.11486	1.11548	5821	0	0
2019.11.01	04:00:00	1.11548	1.11668	1.11546	1.11643	8734	0	0
2019.11.01	08:00:00	1.11643	1.11689	1.11551	1.11604	12343	0	0
2019.11.01	12:00:00	1.11604	1.11607	1.11283	1.11311	29297	0	0
2019.11.01	16:00:00	1.11312	1.11719	1.11312	1.11682	32997	0	0
2019.11.01	20:00:00	1.11682	1.11698	1.11588	1.11643	9805	0	0
2019.11.04	00:00:00	1.11686	1.11696	1.11596	1.11673	5370	0	0
2019.11.04	04:00:00	1.11673	1.11736	1.11653	1.11678	5708	0	0
2019.11.04	08:00:00	1.11678	1.11755	1.11493	1.11649	22496	0	0
2019.11.04	12:00:00	1.11649	1.11703	1.11522	1.11560	18494	0	0
2019.11.04	16:00:00	1.11561	1.11570	1.11400	1.11413	19050	0	0
2019.11.04	20:00:00	1.11411	1.11429	1.11247	1.11305	8934	0	0
2019.11.05	00:00:00	1.11268	1.11311	1.11212	1.11256	11912	0	0
2019.11.05	04:00:00	1.11257	1.11281	1.11126	1.11278	9109	0	0
2019.11.05	08:00:00	1.11278	1.11401	1.11243	1.11292	20033	0	0
2019.11.05	12:00:00	1.11294	1.11313	1.10953	1.10991	24975	0	0
2019.11.05	16:00:00	1.10991	1.10998	1.10637	1.10679	33542	0	0
2019.11.05	20:00:00	1.10678	1.10753	1.10636	1.10736	9750	0	0
2019.11.06	00:00:00	1.10747	1.10758	1.10665	1.10753	7272	0	0
2019.11.06	04:00:00	1.10753	1.10801	1.10697	1.10758	5437	0	0
2019.11.06	08:00:00	1.10759	1.10928	1.10721	1.10915	17292	0	0
2019.11.06	12:00:00	1.10914	1.10922	1.10770	1.10880	14069	0	0
2019.11.06	16:00:00	1.10880	1.10885	1.10651	1.10659	20940	0	0
2019.11.06	20:00:00	1.10659	1.10734	1.10649	1.10668	8430	0	0
2019.11.07	00:00:00	1.10674	1.10745	1.10634	1.10644	6669	0	0
2019.11.07	04:00:00	1.10644	1.10657	1.10549	1.10607	7272	0	0
2019.11.07	08:00:00	1.10607	1.10837	1.10579	1.10779	26399	0	0
2019.11.07	12:00:00	1.10779	1.10916	1.10654	1.10670	29744	0	0
2019.11.07	16:00:00	1.10670	1.10696	1.10360	1.10410	32946	0	0
2019.11.07	20:00:00	1.10411	1.10537	1.10384	1.10505	14785	0	0
2019.11.08	00:00:00	1.10493	1.10535	1.10458	1.10517	7918	0	0
2019.11.08	04:00:00	1.10517	1.10545	1.10469	1.10523	5089	0	0
2019.11.08	08:00:00	1.10523	1.10553	1.10380	1.10385	17010	0	0
2019.11.08	12:00:00	1.10385	1.10480	1.10260	1.10306	20472	0	0
2019.11.08	16:00:00	1.10306	1.10330	1.10167	1.10200	23147	0	0
2019.11.08	20:00:00	1.10200	1.10243	1.10183	1.10190	5851	0	0
2019.11.11	00:00:00	1.10190	1.10238	1.10164	1.10185	4949	0	0
2019.11.11	04:00:00	1.10185	1.10256	1.10171	1.10251	4708	0	0
2019.11.11	08:00:00	1.10252	1.10332	1.10209	1.10297	13680	0	0
2019.11.11	12:00:00	1.10297	1.10430	1.10256	1.10383	14497	0	0
2019.11.11	16:00:00	1.10383	1.10412	1.10310	1.10389	12066	0	0
2019.11.11	20:00:00	1.10389	1.10392	1.10309	1.10329	4953	0	0
2019.11.12	00:00:00	1.10324	1.10380	1.10280	1.10283	5435	0	0
2019.11.12	04:00:00	1.10283	1.10362	1.10264	1.10349	5846	0	0
2019.11.12	08:00:00	1.10350	1.10387	1.10190	1.10330	16572	0	0
2019.11.12	12:00:00	1.10330	1.10369	1.10111	1.10203	16411	0	0
2019.11.12	16:00:00	1.10203	1.10229	1.10025	1.10108	22361	0	0
2019.11.12	20:00:00	1.10108	1.10149	1.10053	1.10077	10518	0	0
2019.11.13	00:00:00	1.10077	1.10141	1.10070	1.10106	9627	0	0
2019.11.13	04:00:00	1.10106	1.10162	1.10081	1.10152	6227	0	0
2019.11.13	08:00:00	1.10151	1.10187	1.09991	1.10153	18116	0	0
2019.11.13	12:00:00	1.10154	1.10203	1.09999	1.10076	19622	0	0
2019.11.13	16:00:00	1.10076	1.10156	1.09953	1.09990	20776	0	0
2019.11.13	20:00:00	1.09990	1.10091	1.09980	1.10065	11284	0	0
2019.11.14	00:00:00	1.10070	1.10110	1.10037	1.10042	7285	0	0
2019.11.14	04:00:00	1.10042	1.10056	1.09950	1.09984	8140	0	0
2019.11.14	08:00:00	1.09985	1.10159	1.09941	1.10010	20439	0	0
2019.11.14	12:00:00	1.10009	1.10042	1.09890	1.09983	16232	0	0
2019.11.14	16:00:00	1.09983	1.10207	1.09925	1.10176	19735	0	0
2019.11.14	20:00:00	1.10176	1.10276	1.10155	1.10193	8845	0	0
2019.11.15	00:00:00	1.10203	1.10271	1.10185	1.10251	8761	0	0
2019.11.15	04:00:00	1.10251	1.10299	1.10216	1.10219	5019	0	0
2019.11.15	08:00:00	1.10219	1.10253	1.10144	1.10189	13402	0	0
2019.11.15	12:00:00	1.10189	1.10432	1.10185	1.10418	13742	0	0
2019.11.15	16:00:00	1.10419	1.10549	1.10375	1.10538	19170	0	0
2019.11.15	20:00:00	1.10538	1.10568	1.10506	1.10519	5667	0	0
2019.11.18	00:00:00	1.10482	1.10589	1.10482	1.10575	6090	0	0
2019.11.18	04:00:00	1.10575	1.10645	1.10575	1.10614	6853	0	0
2019.11.18	08:00:00	1.10613	1.10681	1.10548	1.10619	18507	0	0
2019.11.18	12:00:00	1.10618	1.10672	1.10540	1.10564	18079	0	0
2019.11.18	16:00:00	1.10565	1.10902	1.10554	1.10815	19369	0	0
2019.11.18	20:00:00	1.10815	1.10832	1.10713	1.10723	6414	0	0
2019.11.19	00:00:00	1.10712	1.10743	1.10627	1.10696	7627	0	0
2019.11.19	04:00:00	1.10696	1.10786	1.10690	1.10754	5442	0	0
2019.11.19	08:00:00	1.10754	1.10817	1.10642	1.10684	15875	0	0
2019.11.19	12:00:00	1.10682	1.10817	1.10655	1.10774	12897	0	0
2019.11.19	16:00:00	1.10774	1.10841	1.10721	1.10804	18280	0	0
2019.11.19	20:00:00	1.10805	1.10830	1.10759	1.10769	7388	0	0
2019.11.20	00:00:00	1.10766	1.10805	1.10704	1.10722	11910	0	0
2019.11.20	04:00:00	1.10722	1.10775	1.10701	1.10742	6632	0	0
