<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.02.10	1.13188	1.13413	1.12341	1.12926	109080	101789007719	0
2019.02.17	1.12927	1.13710	1.12754	1.13320	108898	100537381000	0
2019.02.24	1.13283	1.14195	1.13283	1.13631	112531	0	0
2019.03.03	1.13761	1.13809	1.11765	1.12338	111828	0	0
2019.03.10	1.12317	1.13442	1.12216	1.13238	110544	0	0
2019.03.17	1.13209	1.14479	1.12735	1.13001	125027	0	0
2019.03.24	1.12884	1.13312	1.12098	1.12178	154439	0	0
2019.03.31	1.12276	1.12546	1.11837	1.12168	127209	0	0
2019.04.07	1.12145	1.13238	1.12108	1.12983	119246	0	0
2019.04.14	1.13034	1.13236	1.12263	1.12396	104629	0	0
2019.04.21	1.12402	1.12620	1.11117	1.11478	122429	0	0
2019.04.28	1.11451	1.12647	1.11353	1.12017	135023	0	0
2019.05.05	1.11739	1.12532	1.11669	1.12345	161860	0	0
2019.05.12	1.12311	1.12635	1.11552	1.11583	137668	0	0
2019.05.19	1.11597	1.12124	1.11069	1.12051	328397	0	0
2019.05.26	1.12099	1.12152	1.11160	1.11684	314472	0	0
2019.06.02	1.11613	1.13479	1.11603	1.13311	536661	0	0
2019.06.09	1.13227	1.13434	1.12026	1.12107	399413	0	0
2019.06.16	1.12090	1.13778	1.11813	1.13686	496573	0	0
2019.06.23	1.13700	1.14122	1.13443	1.13698	516968	0	0
2019.06.30	1.13600	1.13712	1.12075	1.12262	417054	0	0
2019.07.07	1.12210	1.12858	1.11934	1.12698	267221	0	0
2019.07.14	1.12657	1.12839	1.11999	1.12201	240152	0	0
2019.07.21	1.12139	1.12255	1.11012	1.11267	241058	0	0
2019.07.28	1.11243	1.11620	1.10269	1.11050	365701	0	0
2019.08.04	1.11032	1.12495	1.11032	1.12008	532926	0	0
2019.08.11	1.11980	1.12305	1.10663	1.10894	504091	0	0
2019.08.18	1.10928	1.11532	1.10517	1.11447	421597	0	0
2019.08.25	1.11480	1.11640	1.09630	1.09936	404793	0	0
2019.09.01	1.09891	1.10848	1.09260	1.10251	362575	0	0
2019.09.08	1.10252	1.11097	1.09268	1.10759	375574	0	0
2019.09.15	1.10739	1.10864	1.09902	1.10194	411266	0	0
2019.09.22	1.10114	1.10254	1.09049	1.09410	376870	0	0
2019.09.29	1.09403	1.09993	1.08790	1.09770	439726	0	0
2019.10.06	1.09804	1.10627	1.09409	1.10351	488678	0	0
2019.10.13	1.10311	1.11711	1.09914	1.11710	720248	0	0
2019.10.20	1.11626	1.11794	1.10730	1.10797	489961	0	0
2019.10.27	1.10780	1.11756	1.10736	1.11643	484059	0	0
2019.11.03	1.11686	1.11755	1.10167	1.10190	460115	0	0
2019.11.10	1.10190	1.10568	1.09890	1.10519	364085	0	0
2019.11.17	1.10482	1.10970	1.10144	1.10197	429511	0	0
2019.11.24	1.10157	1.10323	1.09812	1.10178	356489	0	0
2019.12.01	1.10236	1.11162	1.10029	1.10601	440884	0	0
2019.12.08	1.10570	1.11991	1.10532	1.11178	534803	0	0
2019.12.15	1.11277	1.11746	1.10663	1.10750	352305	0	0
2019.12.22	1.10800	1.11882	1.10690	1.11763	153933	0	0
2019.12.29	1.11736	1.12393	1.11250	1.11557	267767	0	0
2020.01.05	1.11650	1.12055	1.10851	1.11208	336360	0	0
2020.01.12	1.11179	1.11729	1.10861	1.10893	284539	0	0
2020.01.19	1.10901	1.11181	1.10199	1.10259	288305	0	0
2020.01.26	1.10299	1.10952	1.09923	1.10945	298941	0	0
2020.02.02	1.10909	1.10919	1.09420	1.09429	307847	0	0
2020.02.09	1.09419	1.09574	1.08272	1.08304	255257	0	0
2020.02.16	1.08404	1.08636	1.07776	1.08477	316093	0	0
2020.02.23	1.08243	1.10531	1.08049	1.10291	675467	0	0
2020.03.01	1.10426	1.13548	1.10363	1.12901	887225	0	0
2020.03.08	1.13431	1.14967	1.10550	1.11020	2036385	0	0
2020.03.15	1.11362	1.12367	1.06375	1.06928	3235433	0	0
2020.03.22	1.06995	1.11473	1.06357	1.11432	2133313	0	0
2020.03.29	1.11148	1.11444	1.07727	1.08119	1160229	0	0
2020.04.05	1.08178	1.09522	1.07683	1.09342	661707	0	0
2020.04.12	1.09360	1.09905	1.08120	1.08740	585609	0	0
2020.04.19	1.08635	1.08968	1.07271	1.08234	523397	0	0
2020.04.26	1.08210	1.10190	1.08095	1.09802	475294	0	0
2020.05.03	1.09690	1.09736	1.07666	1.08385	450991	0	0
2020.05.10	1.08276	1.08965	1.07748	1.08186	429094	0	0
2020.05.17	1.08092	1.10084	1.07997	1.09021	411872	0	0
2020.05.24	1.08960	1.11453	1.08705	1.11077	559729	0	0
2020.05.31	1.11178	1.13839	1.11005	1.12876	1070054	0	0
2020.06.07	1.12987	1.14225	1.12126	1.12606	1182044	0	0
2020.06.14	1.12415	1.13534	1.11680	1.11766	1029085	0	0
