<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.08	1.17903	1.18678	1.17835	1.18451	56724	0	1
2021.07.09	1.18407	1.18810	1.18249	1.18772	44034	0	1
2021.07.12	1.18659	1.18802	1.18362	1.18605	38328	0	1
2021.07.13	1.18586	1.18752	1.17721	1.17766	44458	0	1
2021.07.14	1.17732	1.18388	1.17719	1.18374	44712	0	1
2021.07.15	1.18356	1.18506	1.17962	1.18114	48277	0	1
2021.07.16	1.18060	1.18223	1.17922	1.18056	42211	0	1
2021.07.19	1.18053	1.18245	1.17638	1.18000	54743	0	1
2021.07.20	1.17956	1.18025	1.17556	1.17809	53893	0	1
2021.07.21	1.17784	1.18048	1.17520	1.17935	43916	0	1
2021.07.22	1.17883	1.18304	1.17573	1.17700	48914	0	1
2021.07.23	1.17653	1.17864	1.17544	1.17690	36364	0	1
2021.07.26	1.17672	1.18172	1.17633	1.18024	40286	0	1
2021.07.27	1.18030	1.18411	1.17700	1.18155	45059	0	1
2021.07.28	1.18132	1.18496	1.17722	1.18436	50462	0	1
2021.07.29	1.18427	1.18928	1.18397	1.18853	40347	0	1
2021.07.30	1.18846	1.19087	1.18515	1.18730	42629	0	1
2021.08.02	1.18617	1.18968	1.18524	1.18720	36584	0	1
2021.08.03	1.18679	1.18933	1.18536	1.18637	37065	0	1
2021.08.04	1.18604	1.18996	1.18328	1.18376	37168	0	1
2021.08.05	1.18358	1.18573	1.18281	1.18308	37179	0	1
2021.08.06	1.18304	1.18354	1.17542	1.17612	36311	0	1
2021.08.09	1.17492	1.17689	1.17349	1.17355	37343	0	1
2021.08.10	1.17240	1.17429	1.17099	1.17203	30732	0	1
2021.08.11	1.17181	1.17541	1.17060	1.17404	35057	0	1
2021.08.12	1.17362	1.17482	1.17237	1.17339	27426	0	1
2021.08.13	1.17307	1.18047	1.17293	1.17959	27608	0	1
2021.08.16	1.17944	1.18010	1.17674	1.17763	72451	0	0
2021.08.17	1.17744	1.17845	1.17082	1.17098	101299	0	0
2021.08.18	1.17086	1.17427	1.16938	1.17107	97644	0	0
2021.08.19	1.17102	1.17156	1.16659	1.16776	116339	0	0
2021.08.20	1.16763	1.17046	1.16639	1.16996	87527	0	0
2021.08.23	1.16940	1.17504	1.16900	1.17445	83114	0	0
2021.08.24	1.17435	1.17652	1.17272	1.17576	71382	0	0
2021.08.25	1.17546	1.17746	1.17262	1.17725	76779	0	0
2021.08.26	1.17686	1.17790	1.17460	1.17519	85093	0	0
2021.08.27	1.17520	1.18024	1.17351	1.17958	105718	0	0
